Size_MB,Lifetime
785.754,927
2081.34,2
0.00390625,3
785.754,1
2081.34,922
2081.34,4
0.00390625,2
0.00390625,1
0.00390625,1
2081.34,923
0.00390625,923
0.00390625,1
0.00390625,1
2081.34,1
0.00390625,1
2081.34,2
2025.84,2
0.0351562,3
2081.34,3
2025.84,913
2025.84,4
0.00390625,2
0.00390625,1
0.00390625,1
2025.84,914
0.00390625,914
0.00390625,1
0.00390625,1
2025.84,1
0.00390625,1
2025.84,2
4051.69,2
0.0703125,3
2025.84,3
4051.69,904
4051.69,4
0.00390625,2
0.00390625,1
0.00390625,1
4051.69,905
0.00390625,905
0.00390625,1
0.00390625,1
4051.69,1
0.00390625,1
4051.69,2
999.188,898
4051.69,2
1248.98,2
0.0195312,3
999.188,3
1248.98,893
1248.98,4
0.00390625,2
0.00390625,1
0.00390625,1
1248.98,894
0.00390625,894
0.00390625,1
0.00390625,1
1248.98,1
0.00390625,1
1248.98,2
2835.56,2
0.527344,3
1248.98,3
2835.56,884
2835.56,4
0.00390625,2
0.00390625,1
0.00390625,1
2835.56,885
0.00390625,885
0.00390625,1
0.00390625,1
2835.56,1
0.00390625,1
2835.56,2
689.062,877
2835.56,2
229.688,2
0.046875,3
689.062,4
229.688,872
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,873
0.00390625,873
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
172.266,2
0.0351562,3
689.062,9
172.266,863
172.266,4
0.00390625,2
0.00390625,1
0.00390625,1
172.266,864
0.00390625,864
0.00390625,1
0.00390625,1
172.266,1
0.00390625,1
172.266,2
229.688,2
0.292969,3
172.266,3
229.688,854
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,855
0.00390625,855
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
229.688,2
0.046875,3
689.062,21
229.688,845
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,846
0.00390625,846
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
344.531,2
0.210938,3
229.688,3
344.531,836
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,837
0.00390625,837
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
344.531,2
0.316406,3
344.531,3
344.531,827
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,828
0.00390625,828
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
689.062,821
689.062,38
114.844,2
0.0234375,3
689.062,3
114.844,816
114.844,4
0.00390625,2
0.00390625,1
0.00390625,1
114.844,817
0.00390625,817
0.00390625,1
0.00390625,1
114.844,1
0.00390625,1
114.844,2
229.688,39
229.688,27
344.531,9
114.844,2
918.75,809
229.688,2
0.0625,3
918.75,4
229.688,804
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,805
0.00390625,805
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
172.266,2
0.046875,3
918.75,9
172.266,795
172.266,4
0.00390625,2
0.00390625,1
0.00390625,1
172.266,796
0.00390625,796
0.00390625,1
0.00390625,1
172.266,1
0.00390625,1
172.266,2
229.688,2
0.292969,3
172.266,3
229.688,786
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,787
0.00390625,787
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
229.688,2
0.0625,3
918.75,21
229.688,777
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,778
0.00390625,778
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
344.531,2
0.210938,3
229.688,3
344.531,768
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,769
0.00390625,769
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
344.531,2
0.316406,3
344.531,3
344.531,759
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,760
0.00390625,760
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
918.75,753
918.75,38
229.688,2
0.0625,3
918.75,3
229.688,748
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,749
0.00390625,749
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
229.688,39
229.688,27
344.531,9
229.688,2
1033.59,741
229.688,2
0.0703125,3
1033.59,4
229.688,736
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,737
0.00390625,737
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
172.266,2
0.0546875,3
1033.59,9
172.266,727
172.266,4
0.00390625,2
0.00390625,1
0.00390625,1
172.266,728
0.00390625,728
0.00390625,1
0.00390625,1
172.266,1
0.00390625,1
172.266,2
229.688,2
0.292969,3
172.266,3
229.688,718
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,719
0.00390625,719
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
229.688,2
0.0703125,3
1033.59,21
229.688,709
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,710
0.00390625,710
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
344.531,2
0.210938,3
229.688,3
344.531,700
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,701
0.00390625,701
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
344.531,2
0.316406,3
344.531,3
344.531,691
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,692
0.00390625,692
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
1033.59,685
1033.59,38
229.688,2
0.0703125,3
1033.59,3
229.688,680
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,681
0.00390625,681
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
229.688,39
229.688,27
344.531,9
229.688,2
1033.59,673
325.125,2
3.79688,3
1033.59,4
325.125,668
325.125,4
0.00390625,2
0.00390625,1
0.00390625,1
325.125,669
0.00390625,669
0.00390625,1
0.00390625,1
325.125,1
0.00390625,1
325.125,2
229.688,2
0.0703125,3
1033.59,9
229.688,659
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,660
0.00390625,660
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
344.531,2
0.210938,3
229.688,3
344.531,650
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,651
0.00390625,651
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
81.2812,2
0.316406,3
344.531,3
81.2812,641
81.2812,4
0.00390625,2
0.00390625,1
0.00390625,1
81.2812,642
0.00390625,642
0.00390625,1
0.00390625,1
81.2812,1
0.00390625,1
81.2812,2
243.844,2
1033.59,26
325.125,21
81.2812,3
243.844,2
650.25,632
162.562,2
0.5625,3
650.25,4
162.562,627
162.562,4
0.00390625,2
0.00390625,1
0.00390625,1
162.562,628
0.00390625,628
0.00390625,1
0.00390625,1
162.562,1
0.00390625,1
162.562,2
108.375,2
0.375,3
650.25,9
108.375,618
108.375,4
0.00390625,2
0.00390625,1
0.00390625,1
108.375,619
0.00390625,619
0.00390625,1
0.00390625,1
108.375,1
0.00390625,1
108.375,2
108.375,2
0.4375,3
108.375,3
108.375,609
108.375,4
0.00390625,2
0.00390625,1
0.00390625,1
108.375,610
0.00390625,610
0.00390625,1
0.00390625,1
108.375,1
0.00390625,1
108.375,2
162.562,2
0.65625,3
108.375,3
162.562,600
162.562,4
0.00390625,2
0.00390625,1
0.00390625,1
162.562,601
0.00390625,601
0.00390625,1
0.00390625,1
162.562,1
0.00390625,1
162.562,2
108.375,2
0.375,3
650.25,27
108.375,591
108.375,4
0.00390625,2
0.00390625,1
0.00390625,1
108.375,592
0.00390625,592
0.00390625,1
0.00390625,1
108.375,1
0.00390625,1
108.375,2
108.375,2
0.4375,3
108.375,3
108.375,582
108.375,4
0.00390625,2
0.00390625,1
0.00390625,1
108.375,583
0.00390625,583
0.00390625,1
0.00390625,1
108.375,1
