Size_MB,Lifetime
1309.59,927
3468.91,2
0.00390625,3
1309.59,1
3468.91,922
3468.91,4
0.00390625,2
0.00390625,1
0.00390625,1
3468.91,923
0.00390625,923
0.00390625,1
0.00390625,1
3468.91,1
0.00390625,1
3468.91,2
3376.41,2
0.0351562,3
3468.91,3
3376.41,913
3376.41,4
0.00390625,2
0.00390625,1
0.00390625,1
3376.41,914
0.00390625,914
0.00390625,1
0.00390625,1
3376.41,1
0.00390625,1
3376.41,2
6752.81,2
0.0703125,3
3376.41,3
6752.81,904
6752.81,4
0.00390625,2
0.00390625,1
0.00390625,1
6752.81,905
0.00390625,905
0.00390625,1
0.00390625,1
6752.81,1
0.00390625,1
6752.81,2
1665.31,898
6752.81,2
2081.64,2
0.0195312,3
1665.31,3
2081.64,893
2081.64,4
0.00390625,2
0.00390625,1
0.00390625,1
2081.64,894
0.00390625,894
0.00390625,1
0.00390625,1
2081.64,1
0.00390625,1
2081.64,2
4725.94,2
0.527344,3
2081.64,3
4725.94,884
4725.94,4
0.00390625,2
0.00390625,1
0.00390625,1
4725.94,885
0.00390625,885
0.00390625,1
0.00390625,1
4725.94,1
0.00390625,1
4725.94,2
1148.44,877
4725.94,2
382.812,2
0.046875,3
1148.44,4
382.812,872
382.812,4
0.00390625,2
0.00390625,1
0.00390625,1
382.812,873
0.00390625,873
0.00390625,1
0.00390625,1
382.812,1
0.00390625,1
382.812,2
287.109,2
0.0351562,3
1148.44,9
287.109,863
287.109,4
0.00390625,2
0.00390625,1
0.00390625,1
287.109,864
0.00390625,864
0.00390625,1
0.00390625,1
287.109,1
0.00390625,1
287.109,2
382.812,2
0.292969,3
287.109,3
382.812,854
382.812,4
0.00390625,2
0.00390625,1
0.00390625,1
382.812,855
0.00390625,855
0.00390625,1
0.00390625,1
382.812,1
0.00390625,1
382.812,2
382.812,2
0.046875,3
1148.44,21
382.812,845
382.812,4
0.00390625,2
0.00390625,1
0.00390625,1
382.812,846
0.00390625,846
0.00390625,1
0.00390625,1
382.812,1
0.00390625,1
382.812,2
574.219,2
0.210938,3
382.812,3
574.219,836
574.219,4
0.00390625,2
0.00390625,1
0.00390625,1
574.219,837
0.00390625,837
0.00390625,1
0.00390625,1
574.219,1
0.00390625,1
574.219,2
574.219,2
0.316406,3
574.219,3
574.219,827
574.219,4
0.00390625,2
0.00390625,1
0.00390625,1
574.219,828
0.00390625,828
0.00390625,1
0.00390625,1
574.219,1
0.00390625,1
574.219,2
1148.44,821
1148.44,38
191.406,2
0.0234375,3
1148.44,3
191.406,816
191.406,4
0.00390625,2
0.00390625,1
0.00390625,1
191.406,817
0.00390625,817
0.00390625,1
0.00390625,1
191.406,1
0.00390625,1
191.406,2
382.812,39
382.812,27
574.219,9
191.406,2
1531.25,809
382.812,2
0.0625,3
1531.25,4
382.812,804
382.812,4
0.00390625,2
0.00390625,1
0.00390625,1
382.812,805
0.00390625,805
0.00390625,1
0.00390625,1
382.812,1
0.00390625,1
382.812,2
287.109,2
0.046875,3
1531.25,9
287.109,795
287.109,4
0.00390625,2
0.00390625,1
0.00390625,1
287.109,796
0.00390625,796
0.00390625,1
0.00390625,1
287.109,1
0.00390625,1
287.109,2
382.812,2
0.292969,3
287.109,3
382.812,786
382.812,4
0.00390625,2
0.00390625,1
0.00390625,1
382.812,787
0.00390625,787
0.00390625,1
0.00390625,1
382.812,1
0.00390625,1
382.812,2
382.812,2
0.0625,3
1531.25,21
382.812,777
382.812,4
0.00390625,2
0.00390625,1
0.00390625,1
382.812,778
0.00390625,778
0.00390625,1
0.00390625,1
382.812,1
0.00390625,1
382.812,2
574.219,2
0.210938,3
382.812,3
574.219,768
574.219,4
0.00390625,2
0.00390625,1
0.00390625,1
574.219,769
0.00390625,769
0.00390625,1
0.00390625,1
574.219,1
0.00390625,1
574.219,2
574.219,2
0.316406,3
574.219,3
574.219,759
574.219,4
0.00390625,2
0.00390625,1
0.00390625,1
574.219,760
0.00390625,760
0.00390625,1
0.00390625,1
574.219,1
0.00390625,1
574.219,2
1531.25,753
1531.25,38
382.812,2
0.0625,3
1531.25,3
382.812,748
382.812,4
0.00390625,2
0.00390625,1
