Size_MB,Lifetime
1571.5,927
4162.69,2
0.00390625,3
1571.5,1
4162.69,922
4162.69,4
0.00390625,2
0.00390625,1
0.00390625,1
4162.69,923
0.00390625,923
0.00390625,1
0.00390625,1
4162.69,1
0.00390625,1
4162.69,2
4051.69,2
0.0351562,3
4162.69,3
4051.69,913
4051.69,4
0.00390625,2
0.00390625,1
0.00390625,1
4051.69,914
0.00390625,914
0.00390625,1
0.00390625,1
4051.69,1
0.00390625,1
4051.69,2
8103.38,2
0.0703125,3
4051.69,3
8103.38,904
8103.38,4
0.00390625,2
0.00390625,1
0.00390625,1
8103.38,905
0.00390625,905
0.00390625,1
0.00390625,1
8103.38,1
0.00390625,1
8103.38,2
1998.38,898
8103.38,2
2497.97,2
0.0195312,3
1998.38,3
2497.97,893
2497.97,4
0.00390625,2
0.00390625,1
0.00390625,1
2497.97,894
0.00390625,894
0.00390625,1
0.00390625,1
2497.97,1
0.00390625,1
2497.97,2
5671.12,2
0.527344,3
2497.97,3
5671.12,884
5671.12,4
0.00390625,2
0.00390625,1
0.00390625,1
5671.12,885
0.00390625,885
0.00390625,1
0.00390625,1
5671.12,1
0.00390625,1
5671.12,2
1378.12,877
5671.12,2
459.375,2
0.046875,3
1378.12,4
459.375,872
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,873
0.00390625,873
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
344.531,2
0.0351562,3
1378.12,9
344.531,863
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,864
0.00390625,864
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
459.375,2
0.292969,3
344.531,3
459.375,854
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,855
0.00390625,855
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
459.375,2
0.046875,3
1378.12,21
459.375,845
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,846
0.00390625,846
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
689.062,2
0.210938,3
459.375,3
689.062,836
689.062,4
0.00390625,2
0.00390625,1
0.00390625,1
689.062,837
0.00390625,837
0.00390625,1
0.00390625,1
689.062,1
0.00390625,1
689.062,2
689.062,2
0.316406,3
689.062,3
689.062,827
689.062,4
0.00390625,2
0.00390625,1
0.00390625,1
689.062,828
0.00390625,828
0.00390625,1
0.00390625,1
689.062,1
0.00390625,1
689.062,2
1378.12,821
1378.12,38
229.688,2
0.0234375,3
1378.12,3
229.688,816
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,817
0.00390625,817
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
459.375,39
459.375,27
689.062,9
229.688,2
1837.5,809
459.375,2
0.0625,3
1837.5,4
459.375,804
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,805
0.00390625,805
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
344.531,2
0.046875,3
1837.5,9
344.531,795
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,796
0.00390625,796
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
459.375,2
0.292969,3
344.531,3
459.375,786
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,787
0.00390625,787
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
459.375,2
0.0625,3
1837.5,21
459.375,777
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,778
0.00390625,778
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
689.062,2
0.210938,3
459.375,3
689.062,768
689.062,4
0.00390625,2
0.00390625,1
0.00390625,1
689.062,769
0.00390625,769
0.00390625,1
0.00390625,1
689.062,1
0.00390625,1
689.062,2
689.062,2
0.316406,3
689.062,3
689.062,759
689.062,4
0.00390625,2
0.00390625,1
0.00390625,1
689.062,760
0.00390625,760
0.00390625,1
0.00390625,1
689.062,1
0.00390625,1
689.062,2
1837.5,753
1837.5,38
459.375,2
0.0625,3
1837.5,3
459.375,748
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,749
0.00390625,749
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
459.375,39
459.375,27
689.062,9
459.375,2
2067.19,741
459.375,2
0.0703125,3
2067.19,4
459.375,736
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,737
0.00390625,737
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
344.531,2
0.0546875,3
2067.19,9
344.531,727
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,728
0.00390625,728
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
459.375,2
0.292969,3
344.531,3
459.375,718
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,719
0.00390625,719
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
459.375,2
0.0703125,3
2067.19,21
459.375,709
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,710
0.00390625,710
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
689.062,2
0.210938,3
459.375,3
689.062,700
689.062,4
0.00390625,2
0.00390625,1
0.00390625,1
689.062,701
0.00390625,701
0.00390625,1
0.00390625,1
689.062,1
0.00390625,1
689.062,2
689.062,2
0.316406,3
689.062,3
689.062,691
689.062,4
0.00390625,2
0.00390625,1
0.00390625,1
689.062,692
0.00390625,692
0.00390625,1
0.00390625,1
689.062,1
0.00390625,1
689.062,2
2067.19,685
2067.19,38
459.375,2
0.0703125,3
2067.19,3
459.375,680
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,681
0.00390625,681
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
459.375,39
459.375,27
689.062,9
459.375,2
2067.19,673
650.25,2
3.79688,3
2067.19,4
650.25,668
650.25,4
0.00390625,2
0.00390625,1
0.00390625,1
650.25,669
0.00390625,669
0.00390625,1
0.00390625,1
650.25,1
0.00390625,1
650.25,2
459.375,2
0.0703125,3
2067.19,9
459.375,659
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,660
0.00390625,660
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
689.062,2
0.210938,3
459.375,3
689.062,650
689.062,4
0.00390625,2
0.00390625,1
0.00390625,1
689.062,651
0.00390625,651
0.00390625,1
0.00390625,1
689.062,1
0.00390625,1
689.062,2
162.562,2
0.316406,3
689.062,3
162.562,641
162.562,4
0.00390625,2
0.00390625,1
0.00390625,1
162.562,642
0.00390625,642
0.00390625,1
0.00390625,1
162.562,1
0.00390625,1
162.562,2
487.688,2
2067.19,26
650.25,21
162.562,3
487.688,2
1300.5,632
325.125,2
0.5625,3
1300.5,4
325.125,627
325.125,4
0.00390625,2
0.00390625,1
0.00390625,1
325.125,628
0.00390625,628
0.00390625,1
0.00390625,1
325.125,1
0.00390625,1
325.125,2
216.75,2
0.375,3
1300.5,9
216.75,618
216.75,4
0.00390625,2
0.00390625,1
0.00390625,1
216.75,619
0.00390625,619
0.00390625,1
0.00390625,1
216.75,1
0.00390625,1
216.75,2
216.75,2
0.4375,3
216.75,3
216.75,609
216.75,4
0.00390625,2
0.00390625,1
0.00390625,1
216.75,610
0.00390625,610
0.00390625,1
0.00390625,1
216.75,1
0.00390625,1
216.75,2
325.125,2
0.65625,3
216.75,3
325.125,600
325.125,4
0.00390625,2
0.00390625,1
0.00390625,1
325.125,601
0.00390625,601
0.00390625,1
0.00390625,1
325.125,1
0.00390625,1
325.125,2
216.75,2
0.375,3
1300.5,27
216.75,591
216.75,4
0.00390625,2
0.00390625,1
0.00390625,1
216.75,592
0.00390625,592
0.00390625,1
0.00390625,1
216.75,1
0.00390625,1
216.75,2
216.75,2
0.4375,3
216.75,3
216.75,582
216.75,4
0.00390625,2
0.00390625,1
0.00390625,1
216.75,583
0.00390625,583
0.00390625,1
0.00390625,1
216.75,1
0.00390625,1
216.75,2
216.75,2
0.4375,3
